"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","420030031","5","4","ug/m3 SC","4","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/02/2021","AQS","420030031","5","5","ug/m3 SC","5","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/03/2021","AQS","420030031","5","5","ug/m3 SC","5","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/04/2021","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/05/2021","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/06/2021","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/07/2021","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/08/2021","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/09/2021","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/10/2021","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/11/2021","AQS","420030031","5","21","ug/m3 SC","19","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/12/2021","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/13/2021","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/14/2021","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/15/2021","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/16/2021","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/17/2021","AQS","420030031","5","4","ug/m3 SC","4","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/18/2021","AQS","420030031","5","6","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/19/2021","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/20/2021","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/21/2021","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/22/2021","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/23/2021","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/24/2021","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/25/2021","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/26/2021","AQS","420030031","5","6","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/27/2021","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/28/2021","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
